#变量导出文件（汇川）
#2025-10-24 12:52:17
#AutoShop:EasyMonitor{9C0001D5-7318-4ba2-A115-BB39F85EBE64}
#列A:名称
#列B:连接（如果为空，则是内部连接）
#列C:数据类型（取决于连接，有以下几种类型：Int16 、UInt16、Int32、UInt32、Float、Double、Bool、String、WString、DateTime，类型区分大小写。）
#列D:长度
#列E:数组计数
#列F:地址（取决于连接，寄存器名和数字之间的空格不能缺少。）
#列G:采集周期
#列H:采集模式（=根据命令1=循环使用（默认值）2=循环连续）
#列I:上限
#列J:下限
#列K:初始值（初始值类型取决于变量数据类型）
#列L:注释
#列M:变量组Id

名称,连接,数据类型,长度,数组计数,地址,采集周期,采集模式,上限,下限,初始值,注释,变量组Id
"轴[5].I_轴停止",,"Bool","1","1","UB 04089AA","100ms","1",,,,"轴减速停止",1
"轴[5].I_轴急停",,"Bool","1","1","UB 04089AB","100ms","1",,,,"轴不减速立即停止",1
"轴[5].I_轴清报警",,"Bool","1","1","UB 04089AC","100ms","1",,,,"清除轴报警",1
"轴[5].I_参数写入",,"Bool","1","1","UB 04089AD","100ms","1",,,,"将配置的参数写入，成功后自复位",1
"轴[5].O_轴使能中",,"Bool","1","1","UB 04089AE","100ms","1",,,,"轴使能成功",1
"轴[5].O_回原完成",,"Bool","1","1","UB 04089AF","100ms","1",,,,"轴回原完成",1
"轴[5].O_定位完成",,"Bool","1","1","UB 04089B0","100ms","1",,,,"绝对或相对定位完成",1
"轴[5].O_转矩到达",,"Bool","1","1","UB 04089B1","100ms","1",,,,"转矩模式定位目标到达，当设置力矩达到目标力矩且反馈力矩和目标力矩的差值的绝对值在5%以内时输出有效",1
"轴[5].O_速度到达",,"Bool","1","1","UB 04089B2","100ms","1",,,,"速度模式下已经到达设定的速度",1
"轴[5].O_轴已停止",,"Bool","1","1","UB 04089B3","100ms","1",,,,"速度为0，且速度模式不忙",1
"轴[5].O_轴控指令错误",,"Bool","1","1","UB 04089B4","100ms","1",,,,"轴控有错误",1
"轴[5].O_负限位感应",,"Bool","1","1","UB 04089B5","100ms","1",,,,"",1
"轴[5].O_正限位感应",,"Bool","1","1","UB 04089B6","100ms","1",,,,"",1
"轴[5].O_原点感应",,"Bool","1","1","UB 04089B7","100ms","1",,,,"",1
"轴[6].I_原点偏移",,"Float","4","1","UW 04089C0","100ms","1",,,,"原点到达时的位置",1
"轴[6].I_点动速度",,"Float","4","1","UW 04089E0","100ms","1",,,,"点动运行速度",1
"轴[6].I_定位位置",,"Float","4","1","UW 0408A00","100ms","1",,,,"绝对定位和相对定位的距离",1
"轴[6].I_定位速度",,"Float","4","1","UW 0408A20","100ms","1",,,,"绝对定位或相对定位的速度",1
"轴[6].I_加速度",,"Float","4","1","UW 0408A40","100ms","1",,,,"定位加速度",1
"轴[6].I_减速度",,"Float","4","1","UW 0408A60","100ms","1",,,,"定位减速度",1
"轴[6].I_设定位置",,"Float","4","1","UW 0408A80","100ms","1",,,,"设定当前位置为输入的位置",1
"轴[6].I_设定转矩百分比",,"Float","4","1","UW 0408AA0","100ms","1",,,,"转矩模式的目标转矩",1
"轴[6].I_转矩增量百分比",,"Float","4","1","UW 0408AC0","100ms","1",,,,"力矩斜坡(单位是%/s)设置力矩模式下的力矩指令加速度，即每秒力矩指令的增量",1
"轴[6].I_设定转矩速度",,"Float","4","1","UW 0408AE0","100ms","1",,,,"限制速度",1
"轴[6].I_速度模式速度",,"Float","4","1","UW 0408B00","100ms","1",,,,"设定速度模式时的速度，正数正转负数反转",1
"轴[6].O_当前位置",,"Float","4","1","UW 0408B20","100ms","1",,,,"读出的实时轴位置",1
"轴[6].O_当前速度",,"Float","4","1","UW 0408B40","100ms","1",,,,"读出的实时轴速度",1
"轴[6].O_当前力矩",,"Float","4","1","UW 0408B60","100ms","1",,,,"读出的实时轴力矩",1
"轴[6].O_轴控故障码",,"Int16","2","1","UW 0408B80","100ms","1",,,,"轴控故障时的错误码",1
"轴[6].O_PD0中0x603F的值",,"Int16","2","1","UW 0408B90","100ms","1",,,,"总线轴的寄存器里的故障码",1
"轴[6].O_读轴故障码",,"Int16","2","1","UW 0408BA0","100ms","1",,,,"轴控故障码",1
"轴[6].I_参数配置",,"Int16","2","1","UW 0408BB0","100ms","1",,,,"配置参数的数值，具体需查看手册",1
"轴[6].I_使能",,"Bool","1","1","UB 0408BC0","100ms","1",,,,"轴使能",1
"轴[6].I_手动模式",,"Bool","1","1","UB 0408BC1","100ms","1",,,,"手动模式所有定位功能可用，非手动模式点动不可用，设置位置不可用",1
"轴[6].I_回原启动",,"Bool","1","1","UB 0408BC2","100ms","1",,,,"开始回原点",1
"轴[6].I_设定位置写入",,"Bool","1","1","UB 0408BC3","100ms","1",,,,"写入设定的当前位置，成功后自复位",1
"轴[6].I_点动正转",,"Bool","1","1","UB 0408BC4","100ms","1",,,,"点动正转",1
"轴[6].I_点动反转",,"Bool","1","1","UB 0408BC5","100ms","1",,,,"点动反转",1
"轴[6].I_绝对定位启动",,"Bool","1","1","UB 0408BC6","100ms","1",,,,"绝对定位启动，完成后自复位",1
"轴[6].I_相对定位启动",,"Bool","1","1","UB 0408BC7","100ms","1",,,,"相对定位启动，完成后自复位",1
"轴[6].I_速度模式启动",,"Bool","1","1","UB 0408BC8","100ms","1",,,,"转矩定位启动，完成后自复位",1
"轴[6].I_转矩定位启动",,"Bool","1","1","UB 0408BC9","100ms","1",,,,"转矩定位启动，完成后自复位",1
"轴[6].I_轴停止",,"Bool","1","1","UB 0408BCA","100ms","1",,,,"轴减速停止",1
"轴[6].I_轴急停",,"Bool","1","1","UB 0408BCB","100ms","1",,,,"轴不减速立即停止",1
"轴[6].I_轴清报警",,"Bool","1","1","UB 0408BCC","100ms","1",,,,"清除轴报警",1
"轴[6].I_参数写入",,"Bool","1","1","UB 0408BCD","100ms","1",,,,"将配置的参数写入，成功后自复位",1
"轴[6].O_轴使能中",,"Bool","1","1","UB 0408BCE","100ms","1",,,,"轴使能成功",1
"轴[6].O_回原完成",,"Bool","1","1","UB 0408BCF","100ms","1",,,,"轴回原完成",1
"轴[6].O_定位完成",,"Bool","1","1","UB 0408BD0","100ms","1",,,,"绝对或相对定位完成",1
"轴[6].O_转矩到达",,"Bool","1","1","UB 0408BD1","100ms","1",,,,"转矩模式定位目标到达，当设置力矩达到目标力矩且反馈力矩和目标力矩的差值的绝对值在5%以内时输出有效",1
"轴[6].O_速度到达",,"Bool","1","1","UB 0408BD2","100ms","1",,,,"速度模式下已经到达设定的速度",1
"轴[6].O_轴已停止",,"Bool","1","1","UB 0408BD3","100ms","1",,,,"速度为0，且速度模式不忙",1
"轴[6].O_轴控指令错误",,"Bool","1","1","UB 0408BD4","100ms","1",,,,"轴控有错误",1
"轴[6].O_负限位感应",,"Bool","1","1","UB 0408BD5","100ms","1",,,,"",1
"轴[6].O_正限位感应",,"Bool","1","1","UB 0408BD6","100ms","1",,,,"",1
"轴[6].O_原点感应",,"Bool","1","1","UB 0408BD7","100ms","1",,,,"",1
"轴[7].I_原点偏移",,"Float","4","1","UW 0408BE0","100ms","1",,,,"原点到达时的位置",1
"轴[7].I_点动速度",,"Float","4","1","UW 0408C00","100ms","1",,,,"点动运行速度",1
"轴[7].I_定位位置",,"Float","4","1","UW 0408C20","100ms","1",,,,"绝对定位和相对定位的距离",1
"轴[7].I_定位速度",,"Float","4","1","UW 0408C40","100ms","1",,,,"绝对定位或相对定位的速度",1
"轴[7].I_加速度",,"Float","4","1","UW 0408C60","100ms","1",,,,"定位加速度",1
"轴[7].I_减速度",,"Float","4","1","UW 0408C80","100ms","1",,,,"定位减速度",1
"轴[7].I_设定位置",,"Float","4","1","UW 0408CA0","100ms","1",,,,"设定当前位置为输入的位置",1
"轴[7].I_设定转矩百分比",,"Float","4","1","UW 0408CC0","100ms","1",,,,"转矩模式的目标转矩",1
"轴[7].I_转矩增量百分比",,"Float","4","1","UW 0408CE0","100ms","1",,,,"力矩斜坡(单位是%/s)设置力矩模式下的力矩指令加速度，即每秒力矩指令的增量",1
"轴[7].I_设定转矩速度",,"Float","4","1","UW 0408D00","100ms","1",,,,"限制速度",1
"轴[7].I_速度模式速度",,"Float","4","1","UW 0408D20","100ms","1",,,,"设定速度模式时的速度，正数正转负数反转",1
"轴[7].O_当前位置",,"Float","4","1","UW 0408D40","100ms","1",,,,"读出的实时轴位置",1
"轴[7].O_当前速度",,"Float","4","1","UW 0408D60","100ms","1",,,,"读出的实时轴速度",1
"轴[7].O_当前力矩",,"Float","4","1","UW 0408D80","100ms","1",,,,"读出的实时轴力矩",1
"轴[7].O_轴控故障码",,"Int16","2","1","UW 0408DA0","100ms","1",,,,"轴控故障时的错误码",1
"轴[7].O_PD0中0x603F的值",,"Int16","2","1","UW 0408DB0","100ms","1",,,,"总线轴的寄存器里的故障码",1
"轴[7].O_读轴故障码",,"Int16","2","1","UW 0408DC0","100ms","1",,,,"轴控故障码",1
"轴[7].I_参数配置",,"Int16","2","1","UW 0408DD0","100ms","1",,,,"配置参数的数值，具体需查看手册",1
"轴[7].I_使能",,"Bool","1","1","UB 0408DE0","100ms","1",,,,"轴使能",1
"轴[7].I_手动模式",,"Bool","1","1","UB 0408DE1","100ms","1",,,,"手动模式所有定位功能可用，非手动模式点动不可用，设置位置不可用",1
"轴[7].I_回原启动",,"Bool","1","1","UB 0408DE2","100ms","1",,,,"开始回原点",1
"轴[7].I_设定位置写入",,"Bool","1","1","UB 0408DE3","100ms","1",,,,"写入设定的当前位置，成功后自复位",1
"轴[7].I_点动正转",,"Bool","1","1","UB 0408DE4","100ms","1",,,,"点动正转",1
"轴[7].I_点动反转",,"Bool","1","1","UB 0408DE5","100ms","1",,,,"点动反转",1
"轴[7].I_绝对定位启动",,"Bool","1","1","UB 0408DE6","100ms","1",,,,"绝对定位启动，完成后自复位",1
"轴[7].I_相对定位启动",,"Bool","1","1","UB 0408DE7","100ms","1",,,,"相对定位启动，完成后自复位",1
"轴[7].I_速度模式启动",,"Bool","1","1","UB 0408DE8","100ms","1",,,,"转矩定位启动，完成后自复位",1
"轴[7].I_转矩定位启动",,"Bool","1","1","UB 0408DE9","100ms","1",,,,"转矩定位启动，完成后自复位",1
"轴[7].I_轴停止",,"Bool","1","1","UB 0408DEA","100ms","1",,,,"轴减速停止",1
"轴[7].I_轴急停",,"Bool","1","1","UB 0408DEB","100ms","1",,,,"轴不减速立即停止",1
"轴[7].I_轴清报警",,"Bool","1","1","UB 0408DEC","100ms","1",,,,"清除轴报警",1
"轴[7].I_参数写入",,"Bool","1","1","UB 0408DED","100ms","1",,,,"将配置的参数写入，成功后自复位",1
"轴[7].O_轴使能中",,"Bool","1","1","UB 0408DEE","100ms","1",,,,"轴使能成功",1
"轴[7].O_回原完成",,"Bool","1","1","UB 0408DEF","100ms","1",,,,"轴回原完成",1
"轴[7].O_定位完成",,"Bool","1","1","UB 0408DF0","100ms","1",,,,"绝对或相对定位完成",1
"轴[7].O_转矩到达",,"Bool","1","1","UB 0408DF1","100ms","1",,,,"转矩模式定位目标到达，当设置力矩达到目标力矩且反馈力矩和目标力矩的差值的绝对值在5%以内时输出有效",1
"轴[7].O_速度到达",,"Bool","1","1","UB 0408DF2","100ms","1",,,,"速度模式下已经到达设定的速度",1
"轴[7].O_轴已停止",,"Bool","1","1","UB 0408DF3","100ms","1",,,,"速度为0，且速度模式不忙",1
"轴[7].O_轴控指令错误",,"Bool","1","1","UB 0408DF4","100ms","1",,,,"轴控有错误",1
"轴[7].O_负限位感应",,"Bool","1","1","UB 0408DF5","100ms","1",,,,"",1
"轴[7].O_正限位感应",,"Bool","1","1","UB 0408DF6","100ms","1",,,,"",1
"轴[7].O_原点感应",,"Bool","1","1","UB 0408DF7","100ms","1",,,,"",1
"气缸[0].I_电磁阀使能",,"Bool","1","1","UB 0408FC0","100ms","1",,,,"使能后正常，不使能两个线圈都被复位",1
"气缸[0].I_手动模式",,"Bool","1","1","UB 0408FC1","100ms","1",,,,"手动模式才能允许触摸屏点动",1
"气缸[0].I_控制输入",,"Bool","1","1","UB 0408FC2","100ms","1",,,,"ON线圈1输出，OFF线圈2输出",1
"气缸[0].HMI_控制输入",,"Bool","1","1","UB 0408FC3","100ms","1",,,,"触摸屏控制输入，复位型按键",1
"气缸[0].I_原点感应",,"Bool","1","1","UB 0408FC4","100ms","1",,,,"[只读]气缸原点感应",1
"气缸[0].I_动点感应",,"Bool","1","1","UB 0408FC5","100ms","1",,,,"[只读]气缸动点感应",1
"气缸[0].I_原点屏蔽",,"Bool","1","1","UB 0408FC6","100ms","1",,,,"ON时原点感应失效，回位时间生效",1
"气缸[0].I_动点屏蔽",,"Bool","1","1","UB 0408FC7","100ms","1",,,,"ON时动点感应失效，动作时间有效",1
"气缸[0].I_清除告警",,"Bool","1","1","UB 0408FC8","100ms","1",,,,"上升沿输入，清除完后自复位",1
"气缸[0].O_动作成功",,"Bool","1","1","UB 0408FC9","100ms","1",,,,"动作成功输出",1
"气缸[0].O_回位成功",,"Bool","1","1","UB 0408FCA","100ms","1",,,,"回位成功输出",1
"气缸[0].O_有告警",,"Bool","1","1","UB 0408FCB","100ms","1",,,,"任何报警此信号都会输出",1
"气缸[0].O_传感器异常告警",,"Bool","1","1","UB 0408FCC","100ms","1",,,,"传感器同时感应或同时无感应报警",1
"气缸[0].O_动点不在位告警",,"Bool","1","1","UB 0408FCD","100ms","1",,,,"电磁阀输出后，动点感应在超时时间内无感应报警",1
"气缸[0].O_原点不在位告警",,"Bool","1","1","UB 0408FCE","100ms","1",,,,"电磁阀输出后，原点感应在超时时间内无感应报警",1
"气缸[0].O_线圈输出1",,"Bool","1","1","UB 0408FCF","100ms","1",,,,"线圈输出1",1
"气缸[0].O_线圈输出2",,"Bool","1","1","UB 0408FD0","100ms","1",,,,"线圈输出2",1
"气缸[0].I_中封设置",,"Bool","1","1","UB 0408FD1","100ms","1",,,,"ON则到位延时后释放，OFF则一直有输出",1
"气缸[0].I_回位时间MS",,"Int32","4","1","UW 0408FE0","100ms","1",,,,"气缸回到原点消耗的时间，在屏蔽传感器后生效",1
"气缸[0].I_动作时间MS",,"Int32","4","1","UW 0409000","100ms","1",,,,"气缸动到伸出位消耗的时间，在屏蔽传感器后生效",1
"气缸[0].I_到位延时MS",,"Int32","4","1","UW 0409020","100ms","1",,,,"气缸动作到位后延时再输出",1
"气缸[0].I_告警超时MS",,"Int32","4","1","UW 0409040","100ms","1",,,,"气缸动或回后无感应超时报警时间",1
"气缸[1].I_电磁阀使能",,"Bool","1","1","UB 0409060","100ms","1",,,,"使能后正常，不使能两个线圈都被复位",1
"气缸[1].I_手动模式",,"Bool","1","1","UB 0409061","100ms","1",,,,"手动模式才能允许触摸屏点动",1
"气缸[1].I_控制输入",,"Bool","1","1","UB 0409062","100ms","1",,,,"ON线圈1输出，OFF线圈2输出",1
"气缸[1].HMI_控制输入",,"Bool","1","1","UB 0409063","100ms","1",,,,"触摸屏控制输入，复位型按键",1
"气缸[1].I_原点感应",,"Bool","1","1","UB 0409064","100ms","1",,,,"[只读]气缸原点感应",1
"气缸[1].I_动点感应",,"Bool","1","1","UB 0409065","100ms","1",,,,"[只读]气缸动点感应",1
"气缸[1].I_原点屏蔽",,"Bool","1","1","UB 0409066","100ms","1",,,,"ON时原点感应失效，回位时间生效",1
"气缸[1].I_动点屏蔽",,"Bool","1","1","UB 0409067","100ms","1",,,,"ON时动点感应失效，动作时间有效",1
"气缸[1].I_清除告警",,"Bool","1","1","UB 0409068","100ms","1",,,,"上升沿输入，清除完后自复位",1
"气缸[1].O_动作成功",,"Bool","1","1","UB 0409069","100ms","1",,,,"动作成功输出",1
"气缸[1].O_回位成功",,"Bool","1","1","UB 040906A","100ms","1",,,,"回位成功输出",1
"气缸[1].O_有告警",,"Bool","1","1","UB 040906B","100ms","1",,,,"任何报警此信号都会输出",1
"气缸[1].O_传感器异常告警",,"Bool","1","1","UB 040906C","100ms","1",,,,"传感器同时感应或同时无感应报警",1
"气缸[1].O_动点不在位告警",,"Bool","1","1","UB 040906D","100ms","1",,,,"电磁阀输出后，动点感应在超时时间内无感应报警",1
"气缸[1].O_原点不在位告警",,"Bool","1","1","UB 040906E","100ms","1",,,,"电磁阀输出后，原点感应在超时时间内无感应报警",1
"气缸[1].O_线圈输出1",,"Bool","1","1","UB 040906F","100ms","1",,,,"线圈输出1",1
"气缸[1].O_线圈输出2",,"Bool","1","1","UB 0409070","100ms","1",,,,"线圈输出2",1
"气缸[1].I_中封设置",,"Bool","1","1","UB 0409071","100ms","1",,,,"ON则到位延时后释放，OFF则一直有输出",1
"气缸[1].I_回位时间MS",,"Int32","4","1","UW 0409080","100ms","1",,,,"气缸回到原点消耗的时间，在屏蔽传感器后生效",1
"气缸[1].I_动作时间MS",,"Int32","4","1","UW 04090A0","100ms","1",,,,"气缸动到伸出位消耗的时间，在屏蔽传感器后生效",1
"气缸[1].I_到位延时MS",,"Int32","4","1","UW 04090C0","100ms","1",,,,"气缸动作到位后延时再输出",1
"气缸[1].I_告警超时MS",,"Int32","4","1","UW 04090E0","100ms","1",,,,"气缸动或回后无感应超时报警时间",1
"气缸[2].I_电磁阀使能",,"Bool","1","1","UB 0409100","100ms","1",,,,"使能后正常，不使能两个线圈都被复位",1
"气缸[2].I_手动模式",,"Bool","1","1","UB 0409101","100ms","1",,,,"手动模式才能允许触摸屏点动",1
"气缸[2].I_控制输入",,"Bool","1","1","UB 0409102","100ms","1",,,,"ON线圈1输出，OFF线圈2输出",1
"气缸[2].HMI_控制输入",,"Bool","1","1","UB 0409103","100ms","1",,,,"触摸屏控制输入，复位型按键",1
"气缸[2].I_原点感应",,"Bool","1","1","UB 0409104","100ms","1",,,,"[只读]气缸原点感应",1
"气缸[2].I_动点感应",,"Bool","1","1","UB 0409105","100ms","1",,,,"[只读]气缸动点感应",1
"气缸[2].I_原点屏蔽",,"Bool","1","1","UB 0409106","100ms","1",,,,"ON时原点感应失效，回位时间生效",1
"气缸[2].I_动点屏蔽",,"Bool","1","1","UB 0409107","100ms","1",,,,"ON时动点感应失效，动作时间有效",1
"气缸[2].I_清除告警",,"Bool","1","1","UB 0409108","100ms","1",,,,"上升沿输入，清除完后自复位",1
"气缸[2].O_动作成功",,"Bool","1","1","UB 0409109","100ms","1",,,,"动作成功输出",1
"气缸[2].O_回位成功",,"Bool","1","1","UB 040910A","100ms","1",,,,"回位成功输出",1
"气缸[2].O_有告警",,"Bool","1","1","UB 040910B","100ms","1",,,,"任何报警此信号都会输出",1
"气缸[2].O_传感器异常告警",,"Bool","1","1","UB 040910C","100ms","1",,,,"传感器同时感应或同时无感应报警",1
"气缸[2].O_动点不在位告警",,"Bool","1","1","UB 040910D","100ms","1",,,,"电磁阀输出后，动点感应在超时时间内无感应报警",1
"气缸[2].O_原点不在位告警",,"Bool","1","1","UB 040910E","100ms","1",,,,"电磁阀输出后，原点感应在超时时间内无感应报警",1
"气缸[2].O_线圈输出1",,"Bool","1","1","UB 040910F","100ms","1",,,,"线圈输出1",1
"气缸[2].O_线圈输出2",,"Bool","1","1","UB 0409110","100ms","1",,,,"线圈输出2",1
"气缸[2].I_中封设置",,"Bool","1","1","UB 0409111","100ms","1",,,,"ON则到位延时后释放，OFF则一直有输出",1
"气缸[2].I_回位时间MS",,"Int32","4","1","UW 0409120","100ms","1",,,,"气缸回到原点消耗的时间，在屏蔽传感器后生效",1
"气缸[2].I_动作时间MS",,"Int32","4","1","UW 0409140","100ms","1",,,,"气缸动到伸出位消耗的时间，在屏蔽传感器后生效",1
"气缸[2].I_到位延时MS",,"Int32","4","1","UW 0409160","100ms","1",,,,"气缸动作到位后延时再输出",1
"气缸[2].I_告警超时MS",,"Int32","4","1","UW 0409180","100ms","1",,,,"气缸动或回后无感应超时报警时间",1
"气缸[3].I_电磁阀使能",,"Bool","1","1","UB 04091A0","100ms","1",,,,"使能后正常，不使能两个线圈都被复位",1
"气缸[3].I_手动模式",,"Bool","1","1","UB 04091A1","100ms","1",,,,"手动模式才能允许触摸屏点动",1
"气缸[3].I_控制输入",,"Bool","1","1","UB 04091A2","100ms","1",,,,"ON线圈1输出，OFF线圈2输出",1
"气缸[3].HMI_控制输入",,"Bool","1","1","UB 04091A3","100ms","1",,,,"触摸屏控制输入，复位型按键",1
"气缸[3].I_原点感应",,"Bool","1","1","UB 04091A4","100ms","1",,,,"[只读]气缸原点感应",1
"气缸[3].I_动点感应",,"Bool","1","1","UB 04091A5","100ms","1",,,,"[只读]气缸动点感应",1
"气缸[3].I_原点屏蔽",,"Bool","1","1","UB 04091A6","100ms","1",,,,"ON时原点感应失效，回位时间生效",1
"气缸[3].I_动点屏蔽",,"Bool","1","1","UB 04091A7","100ms","1",,,,"ON时动点感应失效，动作时间有效",1
"气缸[3].I_清除告警",,"Bool","1","1","UB 04091A8","100ms","1",,,,"上升沿输入，清除完后自复位",1
"气缸[3].O_动作成功",,"Bool","1","1","UB 04091A9","100ms","1",,,,"动作成功输出",1
"气缸[3].O_回位成功",,"Bool","1","1","UB 04091AA","100ms","1",,,,"回位成功输出",1
"气缸[3].O_有告警",,"Bool","1","1","UB 04091AB","100ms","1",,,,"任何报警此信号都会输出",1
"气缸[3].O_传感器异常告警",,"Bool","1","1","UB 04091AC","100ms","1",,,,"传感器同时感应或同时无感应报警",1
"气缸[3].O_动点不在位告警",,"Bool","1","1","UB 04091AD","100ms","1",,,,"电磁阀输出后，动点感应在超时时间内无感应报警",1
"气缸[3].O_原点不在位告警",,"Bool","1","1","UB 04091AE","100ms","1",,,,"电磁阀输出后，原点感应在超时时间内无感应报警",1
"气缸[3].O_线圈输出1",,"Bool","1","1","UB 04091AF","100ms","1",,,,"线圈输出1",1
"气缸[3].O_线圈输出2",,"Bool","1","1","UB 04091B0","100ms","1",,,,"线圈输出2",1
"气缸[3].I_中封设置",,"Bool","1","1","UB 04091B1","100ms","1",,,,"ON则到位延时后释放，OFF则一直有输出",1
"气缸[3].I_回位时间MS",,"Int32","4","1","UW 04091C0","100ms","1",,,,"气缸回到原点消耗的时间，在屏蔽传感器后生效",1
"气缸[3].I_动作时间MS",,"Int32","4","1","UW 04091E0","100ms","1",,,,"气缸动到伸出位消耗的时间，在屏蔽传感器后生效",1
"气缸[3].I_到位延时MS",,"Int32","4","1","UW 0409200","100ms","1",,,,"气缸动作到位后延时再输出",1
"气缸[3].I_告警超时MS",,"Int32","4","1","UW 0409220","100ms","1",,,,"气缸动或回后无感应超时报警时间",1
"气缸[4].I_电磁阀使能",,"Bool","1","1","UB 0409240","100ms","1",,,,"使能后正常，不使能两个线圈都被复位",1
"气缸[4].I_手动模式",,"Bool","1","1","UB 0409241","100ms","1",,,,"手动模式才能允许触摸屏点动",1
"气缸[4].I_控制输入",,"Bool","1","1","UB 0409242","100ms","1",,,,"ON线圈1输出，OFF线圈2输出",1
"气缸[4].HMI_控制输入",,"Bool","1","1","UB 0409243","100ms","1",,,,"触摸屏控制输入，复位型按键",1
"气缸[4].I_原点感应",,"Bool","1","1","UB 0409244","100ms","1",,,,"[只读]气缸原点感应",1
"气缸[4].I_动点感应",,"Bool","1","1","UB 0409245","100ms","1",,,,"[只读]气缸动点感应",1
"气缸[4].I_原点屏蔽",,"Bool","1","1","UB 0409246","100ms","1",,,,"ON时原点感应失效，回位时间生效",1
"气缸[4].I_动点屏蔽",,"Bool","1","1","UB 0409247","100ms","1",,,,"ON时动点感应失效，动作时间有效",1
"气缸[4].I_清除告警",,"Bool","1","1","UB 0409248","100ms","1",,,,"上升沿输入，清除完后自复位",1
"气缸[4].O_动作成功",,"Bool","1","1","UB 0409249","100ms","1",,,,"动作成功输出",1
"气缸[4].O_回位成功",,"Bool","1","1","UB 040924A","100ms","1",,,,"回位成功输出",1
"气缸[4].O_有告警",,"Bool","1","1","UB 040924B","100ms","1",,,,"任何报警此信号都会输出",1
"气缸[4].O_传感器异常告警",,"Bool","1","1","UB 040924C","100ms","1",,,,"传感器同时感应或同时无感应报警",1
"气缸[4].O_动点不在位告警",,"Bool","1","1","UB 040924D","100ms","1",,,,"电磁阀输出后，动点感应在超时时间内无感应报警",1
"气缸[4].O_原点不在位告警",,"Bool","1","1","UB 040924E","100ms","1",,,,"电磁阀输出后，原点感应在超时时间内无感应报警",1
"气缸[4].O_线圈输出1",,"Bool","1","1","UB 040924F","100ms","1",,,,"线圈输出1",1
"气缸[4].O_线圈输出2",,"Bool","1","1","UB 0409250","100ms","1",,,,"线圈输出2",1
"气缸[4].I_中封设置",,"Bool","1","1","UB 0409251","100ms","1",,,,"ON则到位延时后释放，OFF则一直有输出",1
"气缸[4].I_回位时间MS",,"Int32","4","1","UW 0409260","100ms","1",,,,"气缸回到原点消耗的时间，在屏蔽传感器后生效",1
"气缸[4].I_动作时间MS",,"Int32","4","1","UW 0409280","100ms","1",,,,"气缸动到伸出位消耗的时间，在屏蔽传感器后生效",1
"气缸[4].I_到位延时MS",,"Int32","4","1","UW 04092A0","100ms","1",,,,"气缸动作到位后延时再输出",1
"气缸[4].I_告警超时MS",,"Int32","4","1","UW 04092C0","100ms","1",,,,"气缸动或回后无感应超时报警时间",1
"气缸[5].I_电磁阀使能",,"Bool","1","1","UB 04092E0","100ms","1",,,,"使能后正常，不使能两个线圈都被复位",1
"气缸[5].I_手动模式",,"Bool","1","1","UB 04092E1","100ms","1",,,,"手动模式才能允许触摸屏点动",1
"气缸[5].I_控制输入",,"Bool","1","1","UB 04092E2","100ms","1",,,,"ON线圈1输出，OFF线圈2输出",1
"气缸[5].HMI_控制输入",,"Bool","1","1","UB 04092E3","100ms","1",,,,"触摸屏控制输入，复位型按键",1
"气缸[5].I_原点感应",,"Bool","1","1","UB 04092E4","100ms","1",,,,"[只读]气缸原点感应",1
"气缸[5].I_动点感应",,"Bool","1","1","UB 04092E5","100ms","1",,,,"[只读]气缸动点感应",1
"气缸[5].I_原点屏蔽",,"Bool","1","1","UB 04092E6","100ms","1",,,,"ON时原点感应失效，回位时间生效",1
"气缸[5].I_动点屏蔽",,"Bool","1","1","UB 04092E7","100ms","1",,,,"ON时动点感应失效，动作时间有效",1
"气缸[5].I_清除告警",,"Bool","1","1","UB 04092E8","100ms","1",,,,"上升沿输入，清除完后自复位",1
"气缸[5].O_动作成功",,"Bool","1","1","UB 04092E9","100ms","1",,,,"动作成功输出",1
"气缸[5].O_回位成功",,"Bool","1","1","UB 04092EA","100ms","1",,,,"回位成功输出",1
"气缸[5].O_有告警",,"Bool","1","1","UB 04092EB","100ms","1",,,,"任何报警此信号都会输出",1
"气缸[5].O_传感器异常告警",,"Bool","1","1","UB 04092EC","100ms","1",,,,"传感器同时感应或同时无感应报警",1
"气缸[5].O_动点不在位告警",,"Bool","1","1","UB 04092ED","100ms","1",,,,"电磁阀输出后，动点感应在超时时间内无感应报警",1
"气缸[5].O_原点不在位告警",,"Bool","1","1","UB 04092EE","100ms","1",,,,"电磁阀输出后，原点感应在超时时间内无感应报警",1
"气缸[5].O_线圈输出1",,"Bool","1","1","UB 04092EF","100ms","1",,,,"线圈输出1",1
"气缸[5].O_线圈输出2",,"Bool","1","1","UB 04092F0","100ms","1",,,,"线圈输出2",1
"气缸[5].I_中封设置",,"Bool","1","1","UB 04092F1","100ms","1",,,,"ON则到位延时后释放，OFF则一直有输出",1
"气缸[5].I_回位时间MS",,"Int32","4","1","UW 0409300","100ms","1",,,,"气缸回到原点消耗的时间，在屏蔽传感器后生效",1
"气缸[5].I_动作时间MS",,"Int32","4","1","UW 0409320","100ms","1",,,,"气缸动到伸出位消耗的时间，在屏蔽传感器后生效",1
"气缸[5].I_到位延时MS",,"Int32","4","1","UW 0409340","100ms","1",,,,"气缸动作到位后延时再输出",1
"气缸[5].I_告警超时MS",,"Int32","4","1","UW 0409360","100ms","1",,,,"气缸动或回后无感应超时报警时间",1
